"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","173.37","176.03","173.13","175.19","3.49","3.44","12,416,921"
"2024-04-29T14:00:00.000Z","175.20","175.99","174.51","174.76","-0.2454","-0.2893","4,816,150"
"2024-04-29T14:30:00.000Z","174.75","175.07","174.38","174.86","0.0587","0.0148","3,031,360"
"2024-04-29T15:00:00.000Z","174.87","175.13","173.98","174.51","-0.2016","-0.2454","3,260,275"
"2024-04-29T15:30:00.000Z","174.52","174.71","174.01","174.67","0.0917","0.0479","2,771,772"
"2024-04-29T16:00:00.000Z","174.68","174.82","174.25","174.32","-0.1976","-0.2414","1,778,921"
"2024-04-29T16:30:00.000Z","174.33","174.67","174.22","174.55","0.1291","0.0852","1,714,052"
"2024-04-29T17:00:00.000Z","174.56","174.89","174.39","174.87","0.1833","0.1395","1,898,573"
"2024-04-29T17:30:00.000Z","174.87","175.10","174.52","174.81","-0.0343","-0.0781","1,735,189"
"2024-04-29T18:00:00.000Z","174.81","174.81","174.09","174.27","-0.3113","-0.3551","1,702,813"
"2024-04-29T18:30:00.000Z","174.26","174.66","173.94","174.62","0.2033","0.1594","1,960,086"
"2024-04-29T19:00:00.000Z","174.62","174.62","173.35","173.82","-0.4553","-0.4991","2,500,111"
"2024-04-29T19:30:00.000Z","173.82","173.98","173.10","173.53","-0.1697","-0.2135","4,742,387"
"2024-04-30T13:30:00.000Z","173.20","174.74","172.65","174.46","0.5359","0.4921","4,611,667"
"2024-04-30T14:00:00.000Z","174.46","174.99","174.24","174.43","-0.0172","-0.0610","2,516,797"
"2024-04-30T14:30:00.000Z","174.43","174.95","174.03","174.16","-0.1548","-0.1986","2,440,697"
"2024-04-30T15:00:00.000Z","174.17","174.40","173.72","173.87","-0.1694","-0.2132","2,226,624"
"2024-04-30T15:30:00.000Z","173.87","174.19","173.60","174.15","0.1639","0.1201","1,481,982"
"2024-04-30T16:00:00.000Z","174.15","174.20","173.67","173.84","-0.1800","-0.2238","1,146,643"
"2024-04-30T16:30:00.000Z","173.84","173.88","173.25","173.87","0.0163","-0.0275","1,626,587"
"2024-04-30T17:00:00.000Z","173.86","173.93","173.22","173.28","-0.3392","-0.3830","1,448,798"
"2024-04-30T17:30:00.000Z","173.31","173.75","173.10","173.68","0.2336","0.1897","1,234,542"
"2024-04-30T18:00:00.000Z","173.68","173.88","173.16","173.18","-0.2879","-0.3317","1,327,328"
"2024-04-30T18:30:00.000Z","173.19","173.34","172.84","173.12","-0.0333","-0.0771","1,441,175"
"2024-04-30T19:00:00.000Z","173.12","173.26","172.56","172.73","-0.2266","-0.2704","1,857,554"
"2024-04-30T19:30:00.000Z","172.74","172.94","170.00","170.05","-1.55","-1.60","9,896,825"
"2024-05-01T13:30:00.000Z","169.58","170.64","169.11","170.33","0.1646","0.1208","3,606,462"
"2024-05-01T14:00:00.000Z","170.32","171.07","170.17","170.81","0.2848","0.2410","2,470,320"
"2024-05-01T14:30:00.000Z","170.78","171.35","170.65","171.10","0.1698","0.1259","1,678,306"
"2024-05-01T15:00:00.000Z","171.10","171.36","170.65","171.17","0.0380","-0.0058","1,476,217"
"2024-05-01T15:30:00.000Z","171.17","171.60","171.10","171.52","0.2045","0.1606","1,909,248"
"2024-05-01T16:00:00.000Z","171.52","171.72","171.29","171.40","-0.0729","-0.1167","1,438,274"
"2024-05-01T16:30:00.000Z","171.38","171.45","171.06","171.06","-0.1955","-0.2393","1,202,106"
"2024-05-01T17:00:00.000Z","171.06","171.21","170.75","171.12","0.0351","-0.0088","983,270"
"2024-05-01T17:30:00.000Z","171.13","171.25","170.61","171.23","0.0643","0.0205","1,384,288"
"2024-05-01T18:00:00.000Z","171.24","171.51","170.83","171.42","0.1110","0.0671","1,675,083"
"2024-05-01T18:30:00.000Z","171.42","172.63","170.90","172.48","0.6184","0.5745","3,628,980"
"2024-05-01T19:00:00.000Z","172.49","172.71","171.98","172.39","-0.0522","-0.0960","2,518,970"
"2024-05-01T19:30:00.000Z","172.38","172.39","169.25","169.31","-1.79","-1.83","6,901,252"
"2024-05-02T13:30:00.000Z","172.43","172.66","171.21","171.44","1.26","1.21","6,976,671"
"2024-05-02T14:00:00.000Z","171.43","171.78","170.89","171.59","0.0875","0.0437","3,114,090"
"2024-05-02T14:30:00.000Z","171.59","172.08","171.42","171.56","-0.0174","-0.0612","2,492,570"
"2024-05-02T15:00:00.000Z","171.57","172.04","171.44","171.59","0.0203","-0.0235","2,295,551"
"2024-05-02T15:30:00.000Z","171.60","172.19","171.46","172.10","0.2943","0.2505","2,240,397"
"2024-05-02T16:00:00.000Z","172.10","172.50","172.06","172.34","0.1424","0.0985","3,029,455"
"2024-05-02T16:30:00.000Z","172.34","172.45","171.93","172.16","-0.1080","-0.1518","2,249,752"
"2024-05-02T17:00:00.000Z","172.16","172.78","172.16","172.69","0.3114","0.2676","2,205,467"
"2024-05-02T17:30:00.000Z","172.70","172.74","172.52","172.60","-0.0550","-0.0988","1,928,120"
"2024-05-02T18:00:00.000Z","172.59","172.94","172.41","172.90","0.1738","0.1300","3,306,508"
"2024-05-02T18:30:00.000Z","172.90","173.10","172.55","172.94","0.0231","-0.0207","3,521,801"
"2024-05-02T19:00:00.000Z","172.94","173.22","172.57","173.15","0.1214","0.0776","3,775,644"
"2024-05-02T19:30:00.000Z","173.15","173.41","172.54","173.08","-0.0404","-0.0843","8,064,345"
