"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","107.39","108.19","107.30","107.69","0.1767","0.1959","149,600"
"2024-04-29T14:00:00.000Z","107.71","108.03","107.69","108.03","0.3111","0.3302","71,506"
"2024-04-29T14:30:00.000Z","108.02","108.05","107.59","107.76","-0.2453","-0.2262","89,360"
"2024-04-29T15:00:00.000Z","107.75","107.84","107.33","107.35","-0.3805","-0.3613","85,359"
"2024-04-29T15:30:00.000Z","107.36","107.53","107.34","107.39","0.0419","0.0611","85,135"
"2024-04-29T16:00:00.000Z","107.39","107.48","107.25","107.26","-0.1256","-0.1065","109,548"
"2024-04-29T16:30:00.000Z","107.28","107.34","107.09","107.11","-0.1399","-0.1208","95,907"
"2024-04-29T17:00:00.000Z","107.10","107.16","107.00","107.02","-0.0840","-0.0649","80,172"
"2024-04-29T17:30:00.000Z","107.01","107.11","106.93","106.98","-0.0374","-0.0182","118,334"
"2024-04-29T18:00:00.000Z","106.97","107.01","106.85","106.93","-0.0467","-0.0276","126,053"
"2024-04-29T18:30:00.000Z","106.92","106.92","106.60","106.84","-0.0842","-0.0650","163,026"
"2024-04-29T19:00:00.000Z","106.83","106.94","106.60","106.87","0.0281","0.0472","148,202"
"2024-04-29T19:30:00.000Z","106.85","107.31","106.83","107.30","0.4024","0.4215","449,205"
"2024-04-30T13:30:00.000Z","106.52","106.87","106.03","106.60","-0.6524","-0.6332","205,700"
"2024-04-30T14:00:00.000Z","106.61","106.78","106.42","106.44","-0.1501","-0.1309","158,329"
"2024-04-30T14:30:00.000Z","106.45","106.77","106.38","106.67","0.2161","0.2352","169,006"
"2024-04-30T15:00:00.000Z","106.67","106.75","106.47","106.52","-0.1406","-0.1215","87,218"
"2024-04-30T15:30:00.000Z","106.52","106.57","106.25","106.34","-0.1690","-0.1498","139,850"
"2024-04-30T16:00:00.000Z","106.35","106.44","106.27","106.36","0.0188","0.0380","142,466"
"2024-04-30T16:30:00.000Z","106.36","106.37","106.02","106.16","-0.1904","-0.1712","120,162"
"2024-04-30T17:00:00.000Z","106.16","106.28","106.07","106.16","0.0024","0.0215","99,198"
"2024-04-30T17:30:00.000Z","106.17","106.46","106.15","106.44","0.2638","0.2829","113,118"
