"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","3.33","3.35","3.02","3.11","-8.79","-9.09","7,447,835"
"2024-04-29T14:00:00.000Z","3.12","3.16","3.06","3.06","-1.59","-1.89","2,072,753"
"2024-04-29T14:30:00.000Z","3.06","3.08","3.03","3.04","-0.8004","-1.11","2,278,842"
"2024-04-29T15:00:00.000Z","3.04","3.07","3.03","3.04","0.0790","-0.2259","1,554,486"
"2024-04-29T15:30:00.000Z","3.03","3.08","2.96","3.04","0.0395","-0.2654","2,871,778"
"2024-04-29T16:00:00.000Z","3.04","3.08","3.04","3.06","0.4901","0.1852","581,386"
"2024-04-29T16:30:00.000Z","3.06","3.07","3.04","3.05","-0.1604","-0.4653","615,290"
"2024-04-29T17:00:00.000Z","3.06","3.06","3.04","3.04","-0.3279","-0.6328","294,365"
"2024-04-29T17:30:00.000Z","3.04","3.05","3.02","3.02","-0.6579","-0.9628","614,666"
"2024-04-29T18:00:00.000Z","3.02","3.03","3.01","3.03","0.2450","-0.0599","621,161"
"2024-04-29T18:30:00.000Z","3.03","3.03","3.01","3.01","-0.4459","-0.7508","682,893"
"2024-04-29T19:00:00.000Z","3.01","3.02","3.00","3.00","-0.2986","-0.6035","1,093,038"
"2024-04-29T19:30:00.000Z","3.01","3.04","3.00","3.02","0.6656","0.3607","2,102,128"
"2024-04-30T13:30:00.000Z","3.02","3.03","2.95","2.99","-1.16","-1.47","1,539,474"
"2024-04-30T14:00:00.000Z","2.98","2.99","2.93","2.97","-0.7091","-1.01","1,209,001"
"2024-04-30T14:30:00.000Z","2.96","2.98","2.96","2.96","-0.1246","-0.4295","375,464"
"2024-04-30T15:00:00.000Z","2.96","2.97","2.92","2.94","-0.8465","-1.15","803,082"
"2024-04-30T15:30:00.000Z","2.94","2.95","2.93","2.94","0.1735","-0.1314","465,654"
"2024-04-30T16:00:00.000Z","2.95","2.96","2.94","2.94","","-0.3049","265,280"
"2024-04-30T16:30:00.000Z","2.94","2.95","2.92","2.94","-0.3396","-0.6445","355,308"
"2024-04-30T17:00:00.000Z","2.94","2.95","2.93","2.94","0.1704","-0.1345","265,028"
"2024-04-30T17:30:00.000Z","2.94","2.96","2.93","2.96","0.5102","0.2053","248,114"
"2024-04-30T18:00:00.000Z","2.96","2.96","2.94","2.96","","-0.3049","350,786"
"2024-04-30T18:30:00.000Z","2.96","2.96","2.92","2.92","-1.02","-1.32","319,593"
"2024-04-30T19:00:00.000Z","2.92","2.94","2.92","2.93","0.1538","-0.1510","369,156"
"2024-04-30T19:30:00.000Z","2.92","2.95","2.92","2.94","0.1877","-0.1171","1,319,431"
"2024-05-01T13:30:00.000Z","2.92","2.96","2.87","2.91","-0.8518","-1.16","1,494,762"
"2024-05-01T14:00:00.000Z","2.91","2.92","2.83","2.86","-1.73","-2.03","1,422,543"
"2024-05-01T14:30:00.000Z","2.85","2.93","2.84","2.91","1.76","1.45","951,444"
"2024-05-01T15:00:00.000Z","2.91","2.93","2.88","2.90","-0.4021","-0.7070","435,760"
"2024-05-01T15:30:00.000Z","2.90","2.91","2.87","2.87","-0.9764","-1.28","280,628"
"2024-05-01T16:00:00.000Z","2.88","2.96","2.87","2.94","2.61","2.31","575,535"
"2024-05-01T16:30:00.000Z","2.94","3.02","2.94","3.00","1.87","1.57","1,242,043"
"2024-05-01T17:00:00.000Z","3.01","3.02","2.98","2.98","-0.5033","-0.8082","834,883"
"2024-05-01T17:30:00.000Z","2.99","3.00","2.97","2.99","0.1675","-0.1374","473,530"
