"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","167.90","169.31","167.55","168.92","1.01","0.9961","514,746"
"2024-04-29T14:00:00.000Z","168.94","170.84","168.93","170.79","1.11","1.09","535,303"
"2024-04-29T14:30:00.000Z","170.79","172.32","170.70","172.21","0.8330","0.8145","691,053"
"2024-04-29T15:00:00.000Z","172.21","172.79","171.88","172.32","0.0639","0.0454","676,908"
"2024-04-29T15:30:00.000Z","172.32","172.43","171.67","172.03","-0.1704","-0.1889","338,488"
"2024-04-29T16:00:00.000Z","172.05","172.49","172.00","172.48","0.2634","0.2449","266,683"
"2024-04-29T16:30:00.000Z","172.49","173.18","172.38","173.16","0.3946","0.3761","454,961"
"2024-04-29T17:00:00.000Z","173.10","173.15","172.45","172.75","-0.2368","-0.2552","221,080"
"2024-04-29T17:30:00.000Z","172.72","173.13","172.69","172.97","0.1274","0.1089","150,717"
"2024-04-29T18:00:00.000Z","172.98","173.02","172.46","173.00","0.0173","-0.0012","222,978"
"2024-04-29T18:30:00.000Z","172.99","173.05","172.40","172.66","-0.1965","-0.2150","242,236"
"2024-04-29T19:00:00.000Z","172.58","173.32","171.71","173.03","0.2143","0.1958","460,568"
"2024-04-29T19:30:00.000Z","173.03","173.81","172.78","173.48","0.2601","0.2416","746,445"
"2024-04-30T13:30:00.000Z","171.49","173.16","171.36","172.63","-0.4900","-0.5084","560,107"
"2024-04-30T14:00:00.000Z","172.60","174.00","172.44","173.43","0.4654","0.4469","440,922"
"2024-04-30T14:30:00.000Z","173.45","173.97","173.11","173.78","0.2026","0.1842","268,505"
"2024-04-30T15:00:00.000Z","173.84","174.07","173.29","173.34","-0.2559","-0.2744","282,309"
"2024-04-30T15:30:00.000Z","173.35","173.40","172.15","172.47","-0.5019","-0.5204","265,541"
"2024-04-30T16:00:00.000Z","172.50","172.55","171.22","171.43","-0.6030","-0.6215","420,487"
"2024-04-30T16:30:00.000Z","171.40","171.44","170.65","171.00","-0.2479","-0.2664","263,390"
"2024-04-30T17:00:00.000Z","171.00","171.18","170.14","170.21","-0.4649","-0.4834","250,020"
"2024-04-30T17:30:00.000Z","170.21","170.38","169.79","170.03","-0.1059","-0.1244","325,486"
"2024-04-30T18:00:00.000Z","170.00","170.03","169.21","169.41","-0.3645","-0.3829","360,367"
"2024-04-30T18:30:00.000Z","169.38","169.48","168.60","168.89","-0.3069","-0.3254","485,938"
