"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","47.67","47.67","47.67","47.67","-2.36","-2.41","136"
"2024-04-29T14:00:00.000Z","47.54","47.70","47.54","47.70","0.0629","0.0036","200"
"2024-04-29T17:00:00.000Z","48.06","48.06","48.06","48.06","0.7618","0.7025","200"
"2024-04-29T18:00:00.000Z","47.99","47.99","47.99","47.99","-0.1527","-0.2120","100"
"2024-04-30T13:30:00.000Z","46.55","46.64","46.50","46.64","-2.81","-2.87","990"
"2024-04-30T14:00:00.000Z","46.39","46.39","46.39","46.39","-0.5360","-0.5953","160"
"2024-04-30T14:30:00.000Z","46.63","46.63","46.63","46.63","0.5206","0.4613","500"
"2024-04-30T16:00:00.000Z","46.00","46.00","45.91","45.91","-1.55","-1.61","600"
"2024-04-30T16:30:00.000Z","45.88","45.88","45.88","45.88","-0.0653","-0.1246","147"
"2024-04-30T18:00:00.000Z","45.87","45.98","45.82","45.98","0.2180","0.1587","575"
"2024-04-30T19:00:00.000Z","45.57","45.57","45.57","45.57","-0.8917","-0.9510","200"
"2024-04-30T19:30:00.000Z","45.67","45.67","44.98","44.98","-1.29","-1.35","590"
"2024-05-01T13:30:00.000Z","43.96","43.96","43.77","43.89","-2.42","-2.48","555"
"2024-05-01T14:00:00.000Z","43.77","43.81","43.72","43.78","-0.2609","-0.3202","1,118"
"2024-05-01T15:30:00.000Z","43.27","43.32","43.22","43.24","-1.22","-1.28","600"
"2024-05-01T16:00:00.000Z","43.39","43.39","43.39","43.39","0.3360","0.2767","702"
"2024-05-01T17:00:00.000Z","43.36","43.36","43.36","43.36","-0.0668","-0.1261","100"
"2024-05-01T17:30:00.000Z","43.55","43.55","43.55","43.55","0.4359","0.3766","100"
"2024-05-01T18:30:00.000Z","45.23","45.23","45.23","45.23","3.86","3.80","500"
"2024-05-01T19:30:00.000Z","43.66","43.79","43.66","43.79","-3.18","-3.24","2,800"
"2024-05-02T13:30:00.000Z","44.86","44.86","44.86","44.86","2.44","2.38","199"
"2024-05-02T15:00:00.000Z","45.14","45.26","45.14","45.26","0.9024","0.8431","210"
