"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-11-28T08:00:00.000Z","144.78","146.52","144.06","145.51","0.7966","0.7133","9,746,540"
"2023-11-29T08:00:00.000Z","146.39","146.49","143.06","143.91","-1.10","-1.18","16,417,135"
"2023-11-30T08:00:00.000Z","144.98","146.01","142.03","143.60","-0.2154","-0.2987","16,275,960"
"2023-12-01T08:00:00.000Z","143.49","146.50","142.60","144.81","0.8426","0.7593","11,906,547"
"2023-12-04T08:00:00.000Z","144.00","145.70","143.25","144.87","0.0414","-0.0419","11,842,828"
"2023-12-05T08:00:00.000Z","144.76","145.07","142.63","142.86","-1.39","-1.47","9,597,632"
"2023-12-06T08:00:00.000Z","141.90","144.03","141.35","142.53","-0.2310","-0.3143","18,079,684"
"2023-12-07T08:00:00.000Z","143.51","144.01","140.99","142.42","-0.0772","-0.1605","14,786,736"
"2023-12-08T08:00:00.000Z","143.51","144.67","143.12","144.31","1.33","1.24","10,821,744"
"2023-12-11T08:00:00.000Z","144.84","145.40","143.82","144.35","0.0277","-0.0556","9,849,572"
"2023-12-12T08:00:00.000Z","143.17","143.59","141.75","142.50","-1.28","-1.36","9,863,867"
"2023-12-13T08:00:00.000Z","142.17","144.68","141.65","144.61","1.48","1.40","10,641,316"
"2023-12-14T08:00:00.000Z","145.85","149.93","145.85","149.93","3.68","3.60","14,960,477"
"2023-12-15T08:00:00.000Z","147.32","149.82","147.32","149.35","-0.3868","-0.4702","30,850,872"
"2023-12-18T08:00:00.000Z","150.83","152.12","149.32","149.68","0.2210","0.1376","11,561,718"
"2023-12-19T08:00:00.000Z","149.96","151.83","149.49","151.64","1.31","1.23","8,738,146"
"2023-12-20T08:00:00.000Z","152.15","153.06","150.06","150.25","-0.9166","-1.0000","9,369,987"
"2023-12-21T08:00:00.000Z","150.78","150.80","149.22","150.71","0.3062","0.2228","7,264,662"
"2023-12-22T08:00:00.000Z","151.74","152.39","150.75","151.05","0.2256","0.1423","6,396,080"
"2023-12-26T08:00:00.000Z","152.07","153.01","151.90","152.41","0.9004","0.8170","5,165,588"
"2023-12-27T08:00:00.000Z","152.27","152.97","151.34","151.91","-0.3281","-0.4114","5,337,244"
"2023-12-28T08:00:00.000Z","151.18","152.02","149.40","149.77","-1.41","-1.49","8,147,993"
"2023-12-29T08:00:00.000Z","150.03","150.23","148.67","149.16","-0.4073","-0.4906","7,658,638"
"2024-01-02T08:00:00.000Z","149.99","151.47","149.24","149.48","0.2145","0.1312","8,879,710"
"2024-01-03T08:00:00.000Z","149.39","153.19","148.68","152.33","1.91","1.82","10,255,276"
"2024-01-04T08:00:00.000Z","153.66","154.35","150.59","150.66","-1.10","-1.18","8,220,280"
"2024-01-05T08:00:00.000Z","151.98","152.03","149.83","150.40","-0.1726","-0.2559","7,455,430"
"2024-01-08T08:00:00.000Z","148.42","149.69","146.58","149.50","-0.5984","-0.6817","10,038,193"
