"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","11.84","11.96","11.55","11.56","-2.90","-3.47","572,563"
"2024-04-29T14:00:00.000Z","11.56","11.65","11.48","11.54","-0.2162","-0.7850","240,658"
"2024-04-29T14:30:00.000Z","11.54","11.71","11.51","11.64","0.8666","0.2978","242,116"
"2024-04-29T15:00:00.000Z","11.64","11.66","11.51","11.53","-0.9880","-1.56","106,680"
"2024-04-29T15:30:00.000Z","11.53","11.54","11.31","11.40","-1.08","-1.65","262,762"
"2024-04-29T16:00:00.000Z","11.41","11.51","11.40","11.43","0.2193","-0.3495","130,813"
"2024-04-29T16:30:00.000Z","11.43","11.50","11.39","11.40","-0.2171","-0.7858","128,663"
"2024-04-29T17:00:00.000Z","11.41","11.43","11.31","11.40","0.0421","-0.5267","142,027"
"2024-04-29T17:30:00.000Z","11.40","11.42","11.36","11.38","-0.2630","-0.8318","92,612"
"2024-04-29T18:00:00.000Z","11.37","11.48","11.30","11.47","0.8352","0.2664","174,141"
"2024-04-29T18:30:00.000Z","11.47","11.47","11.33","11.36","-0.9582","-1.53","80,044"
"2024-04-29T19:00:00.000Z","11.37","11.37","11.18","11.21","-1.37","-1.93","265,654"
"2024-04-29T19:30:00.000Z","11.21","11.30","11.20","11.30","0.8478","0.2791","468,943"
"2024-04-30T13:30:00.000Z","11.18","11.21","10.96","11.05","-2.21","-2.78","254,441"
"2024-04-30T14:00:00.000Z","11.06","11.09","10.94","11.01","-0.3620","-0.9308","165,057"
"2024-04-30T14:30:00.000Z","11.01","11.13","10.94","11.11","0.8629","0.2941","113,395"
"2024-04-30T15:00:00.000Z","11.11","11.22","11.02","11.21","0.9464","0.3776","172,514"
"2024-04-30T15:30:00.000Z","11.21","11.27","11.17","11.23","0.2221","-0.3467","85,706"
"2024-04-30T16:00:00.000Z","11.24","11.30","11.14","11.14","-0.8011","-1.37","129,686"
"2024-04-30T16:30:00.000Z","11.14","11.17","11.11","11.13","-0.1795","-0.7482","69,486"
"2024-04-30T17:00:00.000Z","11.13","11.16","11.04","11.04","-0.8090","-1.38","94,300"
"2024-04-30T17:30:00.000Z","11.04","11.11","11.00","11.09","0.4984","-0.0704","78,555"
"2024-04-30T18:00:00.000Z","11.09","11.10","10.99","11.01","-0.7214","-1.29","74,494"
"2024-04-30T18:30:00.000Z","11.01","11.05","10.98","10.98","-0.2271","-0.7958","72,456"
"2024-04-30T19:00:00.000Z","10.98","11.01","10.91","10.95","-0.3641","-0.9329","113,351"
"2024-04-30T19:30:00.000Z","10.94","11.11","10.91","11.08","1.23","0.6647","319,730"
"2024-05-01T13:30:00.000Z","11.03","11.13","10.89","10.90","-1.62","-2.19","144,916"
"2024-05-01T14:00:00.000Z","10.92","10.97","10.85","10.89","-0.0917","-0.6605","105,984"
"2024-05-01T14:30:00.000Z","10.88","11.04","10.87","10.92","0.2755","-0.2933","127,965"
"2024-05-01T15:00:00.000Z","10.91","10.91","10.81","10.86","-0.5952","-1.16","98,177"
"2024-05-01T15:30:00.000Z","10.86","10.87","10.70","10.73","-1.15","-1.72","144,440"
"2024-05-01T16:00:00.000Z","10.73","10.92","10.72","10.88","1.40","0.8292","80,646"
"2024-05-01T16:30:00.000Z","10.88","10.89","10.78","10.78","-0.9191","-1.49","79,863"
"2024-05-01T17:00:00.000Z","10.78","10.83","10.77","10.82","0.4174","-0.1513","34,358"
"2024-05-01T17:30:00.000Z","10.82","10.90","10.79","10.90","0.6928","0.1241","51,779"
"2024-05-01T18:00:00.000Z","10.88","10.96","10.83","10.93","0.2294","-0.3394","88,482"
"2024-05-01T18:30:00.000Z","10.93","11.29","10.84","11.26","3.02","2.45","269,102"
"2024-05-01T19:00:00.000Z","11.26","11.32","11.05","11.09","-1.51","-2.08","189,981"
"2024-05-01T19:30:00.000Z","11.08","11.09","10.91","10.91","-1.58","-2.15","414,157"
"2024-05-02T13:30:00.000Z","11.11","11.27","11.05","11.07","1.51","0.9436","318,534"
"2024-05-02T14:00:00.000Z","11.07","11.10","11.02","11.05","-0.1806","-0.7494","123,557"
"2024-05-02T14:30:00.000Z","11.05","11.07","10.96","11.03","-0.2261","-0.7949","141,983"
"2024-05-02T15:00:00.000Z","11.02","11.11","11.00","11.11","0.7253","0.1565","66,133"
"2024-05-02T15:30:00.000Z","11.11","11.11","11.05","11.09","-0.1809","-0.7497","48,968"
"2024-05-02T16:00:00.000Z","11.09","11.11","11.05","11.06","-0.2245","-0.7933","66,072"
"2024-05-02T16:30:00.000Z","11.07","11.13","11.05","11.10","0.3163","-0.2525","81,441"
"2024-05-02T17:00:00.000Z","11.11","11.66","11.11","11.65","5.00","4.43","604,283"
"2024-05-02T17:30:00.000Z","11.65","11.99","11.61","11.99","2.87","2.30","929,296"
"2024-05-02T18:00:00.000Z","11.99","12.19","11.96","12.19","1.63","1.06","1,023,802"
"2024-05-02T18:30:00.000Z","12.18","12.26","12.07","12.21","0.1641","-0.4046","846,160"
"2024-05-02T19:00:00.000Z","12.21","12.23","11.94","12.19","-0.1237","-0.6925","611,890"
"2024-05-02T19:30:00.000Z","12.19","12.88","12.17","12.79","4.88","4.31","2,020,832"
"2024-05-03T13:30:00.000Z","12.42","13.39","12.31","13.26","3.72","3.15","1,824,465"
"2024-05-03T14:00:00.000Z","13.25","13.69","13.09","13.63","2.75","2.18","2,072,691"
"2024-05-03T14:30:00.000Z","13.61","13.78","13.38","13.63","0.0213","-0.5475","1,172,304"
"2024-05-03T15:00:00.000Z","13.63","13.77","13.44","13.46","-1.27","-1.84","660,411"
"2024-05-03T15:30:00.000Z","13.45","13.59","13.31","13.46","0.0030","-0.5658","526,402"
"2024-05-03T16:00:00.000Z","13.46","13.53","13.37","13.48","0.1828","-0.3860","359,842"
"2024-05-03T16:30:00.000Z","13.48","13.58","13.44","13.52","0.2967","-0.2720","266,640"
"2024-05-03T17:00:00.000Z","13.52","13.73","13.49","13.71","1.37","0.7996","388,568"
"2024-05-03T17:30:00.000Z","13.71","14.32","13.69","14.21","3.72","3.15","1,924,863"
"2024-05-03T18:00:00.000Z","14.22","14.87","14.00","14.77","3.92","3.35","1,946,366"
"2024-05-03T18:30:00.000Z","14.78","15.15","14.52","14.67","-0.6946","-1.26","3,721,686"
"2024-05-03T19:00:00.000Z","14.67","16.15","14.35","15.93","8.59","8.02","5,950,151"
"2024-05-03T19:30:00.000Z","15.91","17.45","15.75","16.49","3.52","2.95","10,721,611"
"2024-05-06T13:30:00.000Z","14.99","16.70","14.98","16.65","0.9703","0.4015","5,668,534"
"2024-05-06T14:00:00.000Z","16.66","17.40","15.03","15.21","-8.65","-9.22","5,065,842"
"2024-05-06T14:30:00.000Z","15.20","15.43","14.57","14.60","-4.04","-4.61","3,368,875"
"2024-05-06T15:00:00.000Z","14.59","14.74","14.11","14.12","-3.25","-3.82","2,244,558"
"2024-05-06T15:30:00.000Z","14.12","14.12","13.80","13.96","-1.17","-1.74","1,383,832"
"2024-05-06T16:00:00.000Z","13.96","14.02","13.62","13.94","-0.0874","-0.6562","1,352,760"
"2024-05-06T16:30:00.000Z","13.94","14.50","13.77","14.43","3.46","2.89","1,569,673"
"2024-05-06T17:00:00.000Z","14.42","15.00","14.26","14.84","2.88","2.31","2,594,029"
"2024-05-06T17:30:00.000Z","14.85","15.53","14.81","15.50","4.45","3.88","3,468,022"
"2024-05-06T18:00:00.000Z","15.51","16.61","15.40","16.14","4.12","3.55","6,417,603"
"2024-05-06T18:30:00.000Z","16.14","16.17","15.07","16.05","-0.5551","-1.12","3,937,341"
