"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","5,114.13","5,123.49","5,105.11","5,110.53","0.2322","0.2174","3,099"
"2024-04-29T14:00:00.000Z","5,111.32","5,120.64","5,111.02","5,117.83","0.1428","0.1280","1,646"
"2024-04-29T14:30:00.000Z","5,117.88","5,121.45","5,111.19","5,113.84","-0.0780","-0.0928","1,436"
"2024-04-29T15:00:00.000Z","5,114.01","5,114.65","5,110.14","5,111.55","-0.0448","-0.0596","1,301"
"2024-04-29T15:30:00.000Z","5,111.54","5,112.44","5,105.65","5,112.20","0.0127","-0.0021","1,159"
"2024-04-29T16:00:00.000Z","5,112.23","5,116.55","5,110.81","5,116.54","0.0849","0.0701","1,076"
"2024-04-29T16:30:00.000Z","5,116.57","5,118.33","5,112.92","5,114.74","-0.0352","-0.0500","982"
"2024-04-29T17:00:00.000Z","5,114.68","5,119.73","5,111.37","5,119.50","0.0931","0.0782","898"
"2024-04-29T17:30:00.000Z","5,119.55","5,120.43","5,116.81","5,117.12","-0.0465","-0.0613","886"
"2024-04-29T18:00:00.000Z","5,117.11","5,117.11","5,111.67","5,112.16","-0.0969","-0.1118","960"
"2024-04-29T18:30:00.000Z","5,112.11","5,112.11","5,102.68","5,110.87","-0.0252","-0.0401","1,059"
"2024-04-29T19:00:00.000Z","5,110.82","5,110.82","5,088.65","5,101.33","-0.1867","-0.2015","1,430"
"2024-04-29T19:30:00.000Z","5,101.31","5,116.84","5,100.38","5,116.84","0.3040","0.2892","3,459"
"2024-04-30T13:30:00.000Z","5,103.78","5,110.82","5,097.56","5,108.25","-0.1679","-0.1827","2,878"
"2024-04-30T14:00:00.000Z","5,107.64","5,110.83","5,099.39","5,099.41","-0.1731","-0.1879","1,754"
"2024-04-30T14:30:00.000Z","5,098.71","5,108.62","5,096.47","5,101.89","0.0486","0.0338","1,489"
"2024-04-30T15:00:00.000Z","5,101.86","5,101.86","5,079.80","5,083.80","-0.3546","-0.3694","1,462"
"2024-04-30T15:30:00.000Z","5,083.81","5,084.21","5,075.64","5,081.50","-0.0452","-0.0601","1,209"
"2024-04-30T16:00:00.000Z","5,081.46","5,085.12","5,076.76","5,081.93","0.0085","-0.0064","1,033"
"2024-04-30T16:30:00.000Z","5,082.01","5,082.01","5,063.51","5,068.24","-0.2694","-0.2842","1,108"
"2024-04-30T17:00:00.000Z","5,068.11","5,071.56","5,062.92","5,067.35","-0.0176","-0.0324","1,054"
"2024-04-30T17:30:00.000Z","5,067.32","5,077.12","5,066.50","5,076.04","0.1715","0.1567","993"
"2024-04-30T18:00:00.000Z","5,076.01","5,079.92","5,066.69","5,067.19","-0.1743","-0.1892","1,046"
"2024-04-30T18:30:00.000Z","5,067.17","5,072.21","5,059.83","5,062.95","-0.0837","-0.0985","1,108"
"2024-04-30T19:00:00.000Z","5,062.90","5,067.46","5,057.36","5,062.24","-0.0140","-0.0289","1,360"
"2024-04-30T19:30:00.000Z","5,062.40","5,066.14","5,035.31","5,036.25","-0.5134","-0.5282","4,564"
"2024-05-01T13:30:00.000Z","5,029.03","5,032.71","5,018.84","5,022.62","-0.2706","-0.2855","3,157"
"2024-05-01T14:00:00.000Z","5,022.59","5,025.81","5,015.78","5,022.94","0.0064","-0.0085","1,935"
"2024-05-01T14:30:00.000Z","5,022.89","5,030.38","5,021.09","5,027.93","0.0993","0.0845","1,667"
"2024-05-01T15:00:00.000Z","5,027.87","5,029.16","5,015.02","5,022.47","-0.1086","-0.1234","1,570"
"2024-05-01T15:30:00.000Z","5,022.58","5,028.05","5,016.90","5,016.90","-0.1109","-0.1257","1,347"
"2024-05-01T16:00:00.000Z","5,016.96","5,026.02","5,013.45","5,025.26","0.1666","0.1518","1,150"
"2024-05-01T16:30:00.000Z","5,025.28","5,025.28","5,018.30","5,019.07","-0.1232","-0.1380","1,033"
"2024-05-01T17:00:00.000Z","5,019.00","5,022.35","5,014.19","5,021.89","0.0562","0.0413","1,075"
"2024-05-01T17:30:00.000Z","5,021.96","5,028.43","5,021.34","5,024.41","0.0502","0.0353","1,161"
"2024-05-01T18:00:00.000Z","5,024.22","5,046.07","5,023.28","5,045.75","0.4247","0.4099","1,421"
"2024-05-01T18:30:00.000Z","5,045.77","5,088.77","5,025.97","5,086.84","0.8143","0.7995","2,303"
"2024-05-01T19:00:00.000Z","5,087.57","5,096.12","5,070.96","5,079.19","-0.1504","-0.1652","2,068"
"2024-05-01T19:30:00.000Z","5,079.27","5,079.27","5,017.57","5,017.57","-1.21","-1.23","4,758"
"2024-05-02T13:30:00.000Z","5,049.32","5,057.24","5,031.85","5,034.17","0.3308","0.3160","3,052"
"2024-05-02T14:00:00.000Z","5,034.35","5,036.66","5,011.05","5,034.40","0.0046","-0.0103","1,985"
"2024-05-02T14:30:00.000Z","5,034.50","5,040.19","5,021.79","5,038.79","0.0872","0.0724","1,568"
"2024-05-02T15:00:00.000Z","5,038.65","5,045.83","5,035.56","5,036.39","-0.0476","-0.0625","1,372"
"2024-05-02T15:30:00.000Z","5,036.43","5,044.38","5,029.53","5,042.69","0.1251","0.1103","1,199"
