"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","34.23","34.42","34.23","34.32","0.0875","0.1027","76,796"
"2024-04-29T14:00:00.000Z","34.31","34.34","34.01","34.08","-0.6993","-0.6841","110,694"
"2024-04-29T14:30:00.000Z","34.04","34.04","33.75","33.80","-0.8216","-0.8064","186,290"
"2024-04-29T15:00:00.000Z","33.77","33.93","33.72","33.77","-0.0888","-0.0735","95,776"
"2024-04-29T15:30:00.000Z","33.75","34.09","33.75","34.04","0.7995","0.8148","49,155"
"2024-04-29T16:00:00.000Z","34.03","34.18","33.98","34.12","0.2203","0.2356","43,738"
"2024-04-29T16:30:00.000Z","34.12","34.16","33.99","34.01","-0.3078","-0.2925","77,846"
"2024-04-29T17:00:00.000Z","34.00","34.02","33.86","33.86","-0.4410","-0.4258","24,078"
"2024-04-29T17:30:00.000Z","33.85","33.88","33.62","33.67","-0.5611","-0.5459","90,836"
"2024-04-29T18:00:00.000Z","33.67","33.76","33.59","33.76","0.2673","0.2825","72,074"
"2024-04-29T18:30:00.000Z","33.76","33.78","33.74","33.78","0.0595","0.0748","17,881"
"2024-04-29T19:00:00.000Z","33.77","33.84","33.73","33.77","-0.0447","-0.0295","168,484"
"2024-04-29T19:30:00.000Z","33.76","33.80","33.65","33.70","-0.1925","-0.1773","61,417"
"2024-04-30T13:30:00.000Z","33.43","33.54","32.75","32.75","-2.82","-2.80","308,762"
"2024-04-30T14:00:00.000Z","32.74","32.93","32.53","32.60","-0.4580","-0.4428","323,288"
"2024-04-30T14:30:00.000Z","32.60","32.98","32.47","32.82","0.6748","0.6901","263,648"
"2024-04-30T15:00:00.000Z","32.85","33.36","32.82","33.31","1.49","1.51","167,304"
"2024-04-30T15:30:00.000Z","33.30","33.49","33.06","33.06","-0.7532","-0.7380","149,431"
"2024-04-30T16:00:00.000Z","33.10","33.19","33.02","33.12","0.1842","0.1995","44,374"
"2024-04-30T16:30:00.000Z","33.13","33.17","32.81","32.89","-0.6944","-0.6792","48,431"
"2024-04-30T17:00:00.000Z","32.89","33.10","32.81","33.04","0.4561","0.4713","41,759"
"2024-04-30T17:30:00.000Z","33.05","33.16","33.01","33.16","0.3632","0.3784","25,557"
"2024-04-30T18:00:00.000Z","33.16","33.35","33.11","33.18","0.0603","0.0756","57,856"
"2024-04-30T18:30:00.000Z","33.18","33.22","33.03","33.03","-0.4521","-0.4368","30,489"
"2024-04-30T19:00:00.000Z","33.03","33.05","32.94","32.97","-0.1968","-0.1815","41,095"
"2024-04-30T19:30:00.000Z","32.96","33.03","32.91","32.91","-0.1517","-0.1364","75,131"
"2024-05-01T13:30:00.000Z","32.29","32.68","32.20","32.64","-0.8355","-0.8202","100,447"
"2024-05-01T14:00:00.000Z","32.69","32.87","32.60","32.70","0.1838","0.1991","280,210"
"2024-05-01T14:30:00.000Z","32.70","32.70","31.92","31.92","-2.39","-2.37","340,406"
"2024-05-01T15:00:00.000Z","31.93","31.94","31.57","31.64","-0.8772","-0.8619","186,859"
"2024-05-01T15:30:00.000Z","31.65","31.65","31.19","31.20","-1.39","-1.38","243,013"
"2024-05-01T16:00:00.000Z","31.21","31.45","31.21","31.40","0.6410","0.6563","112,585"
"2024-05-01T16:30:00.000Z","31.41","31.46","31.06","31.25","-0.4697","-0.4545","255,868"
"2024-05-01T17:00:00.000Z","31.26","31.29","31.12","31.13","-0.3920","-0.3767","101,939"
"2024-05-01T17:30:00.000Z","31.18","31.26","31.08","31.09","-0.1282","-0.1129","48,693"
"2024-05-01T18:00:00.000Z","31.22","31.22","30.96","31.14","0.1595","0.1748","159,565"
"2024-05-01T18:30:00.000Z","31.14","31.31","31.02","31.29","0.4827","0.4979","190,716"
"2024-05-01T19:00:00.000Z","31.29","31.37","31.23","31.25","-0.1278","-0.1126","53,703"
"2024-05-01T19:30:00.000Z","31.26","31.31","31.12","31.12","-0.4160","-0.4008","83,127"
"2024-05-02T13:30:00.000Z","31.27","31.45","31.02","31.13","0.0321","0.0474","194,718"
"2024-05-02T14:00:00.000Z","31.15","31.33","30.98","31.22","0.2891","0.3044","97,498"
"2024-05-02T14:30:00.000Z","31.18","31.33","30.99","31.03","-0.6086","-0.5933","72,324"
"2024-05-02T15:00:00.000Z","31.05","31.26","30.84","31.25","0.7090","0.7242","140,599"
"2024-05-02T15:30:00.000Z","31.24","31.32","30.88","30.94","-0.9920","-0.9768","82,395"
"2024-05-02T16:00:00.000Z","30.97","31.16","30.91","31.06","0.3885","0.4037","121,578"
"2024-05-02T16:30:00.000Z","31.06","31.34","31.06","31.29","0.7399","0.7551","47,050"
"2024-05-02T17:00:00.000Z","31.31","31.46","31.24","31.41","0.3835","0.3988","164,091"
"2024-05-02T17:30:00.000Z","31.41","31.41","31.19","31.21","-0.6367","-0.6215","93,925"
"2024-05-02T18:00:00.000Z","31.21","31.61","31.15","31.32","0.3525","0.3677","200,644"
"2024-05-02T18:30:00.000Z","31.32","31.46","31.21","31.36","0.1405","0.1557","106,138"
"2024-05-02T19:00:00.000Z","31.37","31.41","31.30","31.33","-0.1084","-0.0932","31,656"
"2024-05-02T19:30:00.000Z","31.33","31.33","31.23","31.24","-0.2873","-0.2720","58,886"
"2024-05-03T13:30:00.000Z","31.34","31.48","31.15","31.29","0.1440","0.1593","119,091"
"2024-05-03T14:00:00.000Z","31.32","31.38","31.12","31.23","-0.1758","-0.1606","93,409"
"2024-05-03T14:30:00.000Z","31.22","31.34","31.01","31.14","-0.2882","-0.2729","59,879"
"2024-05-03T15:00:00.000Z","31.15","31.31","31.07","31.27","0.4175","0.4327","143,925"
"2024-05-03T15:30:00.000Z","31.21","31.30","31.05","31.08","-0.6076","-0.5924","167,167"
"2024-05-03T16:00:00.000Z","31.05","31.20","31.05","31.15","0.2252","0.2405","83,893"
"2024-05-03T16:30:00.000Z","31.16","31.17","31.09","31.14","-0.0430","-0.0278","32,226"
"2024-05-03T17:00:00.000Z","31.13","31.25","31.09","31.15","0.0430","0.0583","174,918"
"2024-05-03T17:30:00.000Z","31.15","31.15","31.08","31.09","-0.1926","-0.1774","47,487"
"2024-05-03T18:00:00.000Z","31.09","31.18","30.95","30.96","-0.4181","-0.4029","105,522"
"2024-05-03T18:30:00.000Z","30.97","31.00","30.92","30.97","0.0291","0.0443","57,401"
"2024-05-03T19:00:00.000Z","30.96","30.99","30.92","30.96","-0.0129","0.0023","22,304"
"2024-05-03T19:30:00.000Z","30.97","31.03","30.93","31.02","0.1615","0.1767","307,228"
"2024-05-06T13:30:00.000Z","31.29","31.51","31.25","31.48","1.52","1.53","100,233"
"2024-05-06T14:00:00.000Z","31.50","31.55","31.34","31.38","-0.3208","-0.3055","115,304"
"2024-05-06T14:30:00.000Z","31.39","31.51","31.37","31.37","-0.0446","-0.0294","138,785"
"2024-05-06T15:00:00.000Z","31.38","31.40","31.30","31.39","0.0638","0.0790","91,799"
"2024-05-06T15:30:00.000Z","31.39","31.47","31.36","31.45","0.1911","0.2064","65,200"
"2024-05-06T16:00:00.000Z","31.47","31.62","31.40","31.61","0.5087","0.5240","214,208"
"2024-05-06T16:30:00.000Z","31.62","31.62","30.90","31.27","-1.08","-1.06","955,696"
"2024-05-06T17:00:00.000Z","31.24","31.34","31.13","31.22","-0.1599","-0.1447","350,465"
"2024-05-06T17:30:00.000Z","31.21","31.29","31.11","31.16","-0.1762","-0.1609","114,412"
