"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","6.97","7.06","6.91","7.05","1.95","1.92","491,796"
"2024-04-29T14:00:00.000Z","7.05","7.21","7.04","7.13","0.9922","0.9590","777,918"
"2024-04-29T14:30:00.000Z","7.12","7.28","7.09","7.24","1.54","1.51","1,059,980"
"2024-04-29T15:00:00.000Z","7.24","7.24","7.16","7.18","-0.6911","-0.7243","307,779"
"2024-04-29T15:30:00.000Z","7.18","7.23","7.17","7.19","0.0696","0.0364","317,444"
"2024-04-29T16:00:00.000Z","7.19","7.19","7.15","7.16","-0.4868","-0.5200","159,548"
"2024-04-29T16:30:00.000Z","7.16","7.17","7.09","7.09","-0.8386","-0.8717","337,062"
"2024-04-29T17:00:00.000Z","7.10","7.20","7.10","7.18","1.20","1.16","377,747"
"2024-04-29T17:30:00.000Z","7.18","7.21","7.17","7.18","0.0696","0.0365","305,875"
"2024-04-29T18:00:00.000Z","7.18","7.18","7.15","7.15","-0.4871","-0.5203","232,626"
"2024-04-29T18:30:00.000Z","7.16","7.18","7.14","7.17","0.2098","0.1766","284,341"
"2024-04-29T19:00:00.000Z","7.16","7.26","7.08","7.22","0.7676","0.7344","1,532,265"
"2024-04-29T19:30:00.000Z","7.22","7.26","7.15","7.22","","-0.0332","1,295,002"
"2024-04-30T13:30:00.000Z","7.15","7.20","6.99","7.03","-2.63","-2.66","757,702"
"2024-04-30T14:00:00.000Z","7.04","7.05","6.90","6.94","-1.28","-1.31","477,175"
"2024-04-30T14:30:00.000Z","6.94","6.95","6.89","6.90","-0.5764","-0.6095","204,991"
"2024-04-30T15:00:00.000Z","6.91","6.92","6.78","6.80","-1.45","-1.48","428,438"
"2024-04-30T15:30:00.000Z","6.79","6.85","6.75","6.83","0.4412","0.4080","406,719"
"2024-04-30T16:00:00.000Z","6.83","6.88","6.81","6.86","0.4392","0.4061","381,170"
"2024-04-30T16:30:00.000Z","6.86","6.86","6.81","6.83","-0.4373","-0.4705","251,101"
"2024-04-30T17:00:00.000Z","6.83","6.83","6.80","6.81","-0.2928","-0.3260","165,067"
"2024-04-30T17:30:00.000Z","6.81","6.83","6.79","6.83","0.2937","0.2605","155,676"
"2024-04-30T18:00:00.000Z","6.83","6.84","6.80","6.83","-0.0732","-0.1064","346,012"
"2024-04-30T18:30:00.000Z","6.83","6.87","6.80","6.82","-0.1465","-0.1797","284,895"
"2024-04-30T19:00:00.000Z","6.82","6.85","6.81","6.83","0.1467","0.1136","365,336"
