Date,Open,High,Low,Close,Adj Close,Volume
2007-04-05,6.650000,6.980000,6.270000,6.970000,6.970000,641100
2007-04-09,7.050000,7.350000,7.020000,7.300000,7.300000,655400
2007-04-10,7.100000,7.390000,6.920000,7.150000,7.150000,727400
2007-04-11,7.150000,7.310000,7.080000,7.160000,7.160000,292100
2007-04-12,7.160000,7.170000,6.620000,6.650000,6.650000,465700
2007-04-13,6.700000,6.780000,6.550000,6.550000,6.550000,241300
2007-04-16,6.520000,6.520000,6.160000,6.170000,6.170000,579100
2007-04-17,6.030000,6.200000,5.900000,6.130000,6.130000,422900
2007-04-18,6.050000,6.140000,5.850000,5.970000,5.970000,321000
2007-04-19,5.870000,5.900000,5.760000,5.850000,5.850000,182400
2007-04-20,5.770000,5.800000,5.600000,5.710000,5.710000,325900
2007-04-23,5.740000,5.740000,5.530000,5.530000,5.530000,288300
2007-04-24,5.480000,5.490000,5.050000,5.150000,5.150000,348200
2007-04-25,5.200000,6.400000,5.160000,6.390000,6.390000,777300
2007-04-26,6.340000,6.370000,6.060000,6.300000,6.300000,343700
2007-04-27,6.100000,6.150000,5.650000,5.820000,5.820000,212500
2007-04-30,5.850000,5.900000,5.650000,5.870000,5.870000,176600
2007-05-01,5.880000,6.500000,5.880000,6.440000,6.440000,484300
2007-05-02,6.280000,6.380000,6.120000,6.220000,6.220000,132000
2007-05-03,6.250000,6.250000,5.810000,5.950000,5.950000,202000
2007-05-04,5.910000,5.990000,5.830000,5.910000,5.910000,199300
2007-05-07,5.850000,5.850000,5.560000,5.600000,5.600000,260800
2007-05-08,5.320000,5.400000,5.190000,5.220000,5.220000,284500
2007-05-09,5.490000,5.520000,5.300000,5.410000,5.410000,221000
2007-05-10,5.400000,5.400000,5.060000,5.100000,5.100000,195600
2007-05-11,5.070000,5.250000,5.040000,5.200000,5.200000,100100
2007-05-14,5.250000,5.300000,5.050000,5.110000,5.110000,86000
2007-05-15,5.060000,5.080000,4.560000,4.590000,4.590000,473600
2007-05-16,4.600000,5.240000,4.270000,5.050000,5.050000,777900
2007-05-17,5.000000,5.100000,4.650000,4.980000,4.980000,132400
2007-05-18,5.010000,5.100000,4.840000,4.920000,4.920000,170700
2007-05-21,4.950000,5.400000,4.950000,5.350000,5.350000,231100
2007-05-22,5.350000,5.720000,5.170000,5.200000,5.200000,498100
2007-05-23,5.060000,5.300000,4.960000,5.160000,5.160000,248700
2007-05-24,5.100000,5.220000,5.060000,5.160000,5.160000,87900
2007-05-25,5.150000,5.150000,4.950000,5.000000,5.000000,113700
2007-05-29,4.950000,5.000000,4.790000,4.900000,4.900000,105300
2007-05-30,4.740000,4.850000,4.550000,4.730000,4.730000,174600
2007-05-31,4.620000,4.750000,4.600000,4.750000,4.750000,251000
2007-06-01,4.840000,4.940000,4.720000,4.750000,4.750000,219700
2007-06-04,4.610000,4.650000,4.500000,4.570000,4.570000,277700
2007-06-05,4.600000,4.650000,4.360000,4.530000,4.530000,300800
2007-06-06,4.530000,4.540000,4.200000,4.300000,4.300000,457500
2007-06-07,4.180000,4.250000,3.940000,4.000000,4.000000,503200
2007-06-08,3.910000,3.920000,3.710000,3.760000,3.760000,474200
2007-06-11,3.730000,4.120000,3.730000,4.120000,4.120000,296200
2007-06-12,4.170000,4.170000,3.940000,4.050000,4.050000,232600
2007-06-13,4.000000,4.050000,4.000000,4.000000,4.000000,50600
2007-06-14,3.950000,4.040000,3.920000,4.000000,4.000000,118000
2007-06-15,4.050000,4.120000,4.010000,4.010000,4.010000,120400
2007-06-18,3.830000,3.990000,3.830000,3.900000,3.900000,151400
2007-06-19,3.900000,4.050000,3.900000,4.000000,4.000000,136000
2007-06-20,4.000000,4.350000,4.000000,4.150000,4.150000,249800
2007-06-21,4.120000,4.220000,4.100000,4.150000,4.150000,127900
