"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-29T13:30:00.000Z","15.18","15.24","15.05","15.05","0.1331","0.1811","0"
"2024-04-29T14:00:00.000Z","15.07","15.11","14.96","15.04","-0.0664","-0.0184","0"
"2024-04-29T14:30:00.000Z","15.05","15.10","14.86","14.87","-1.13","-1.08","0"
"2024-04-29T15:00:00.000Z","14.86","14.90","14.82","14.83","-0.2690","-0.2210","0"
"2024-04-29T15:30:00.000Z","14.85","14.89","14.76","14.77","-0.4046","-0.3566","0"
"2024-04-29T16:00:00.000Z","14.76","14.86","14.75","14.81","0.2708","0.3188","0"
"2024-04-29T16:30:00.000Z","14.82","14.85","14.79","14.79","-0.1350","-0.0870","0"
"2024-04-29T17:00:00.000Z","14.78","14.79","14.67","14.68","-0.7437","-0.6957","0"
"2024-04-29T17:30:00.000Z","14.69","14.75","14.68","14.71","0.2044","0.2524","0"
"2024-04-29T18:00:00.000Z","14.70","14.90","14.69","14.75","0.2719","0.3199","0"
"2024-04-29T18:30:00.000Z","14.74","15.25","14.74","15.04","1.97","2.01","0"
"2024-04-29T19:00:00.000Z","15.03","15.03","14.86","14.88","-1.06","-1.02","0"
"2024-04-29T19:30:00.000Z","14.89","14.93","14.63","14.67","-1.41","-1.36","0"
"2024-04-30T13:30:00.000Z","14.74","14.84","14.74","14.78","0.7498","0.7978","0"
"2024-04-30T14:00:00.000Z","14.77","14.91","14.72","14.73","-0.3383","-0.2903","0"
"2024-04-30T14:30:00.000Z","14.72","15.22","14.67","15.22","3.33","3.37","0"
"2024-04-30T15:00:00.000Z","15.20","15.31","15.06","15.27","0.3285","0.3765","0"
"2024-04-30T15:30:00.000Z","15.26","15.37","15.22","15.25","-0.1310","-0.0830","0"
"2024-04-30T16:00:00.000Z","15.24","15.61","15.12","15.57","2.10","2.15","0"
"2024-04-30T16:30:00.000Z","15.58","15.63","15.44","15.56","-0.0642","-0.0162","0"
"2024-04-30T17:00:00.000Z","15.59","15.60","15.38","15.38","-1.16","-1.11","0"
"2024-04-30T17:30:00.000Z","15.39","15.39","15.03","15.14","-1.56","-1.51","0"
"2024-04-30T18:00:00.000Z","15.16","15.34","15.12","15.27","0.8587","0.9067","0"
"2024-04-30T18:30:00.000Z","15.26","15.46","15.20","15.23","-0.2620","-0.2139","0"
"2024-04-30T19:00:00.000Z","15.28","15.42","15.28","15.37","0.9192","0.9672","0"
"2024-04-30T19:30:00.000Z","15.36","15.90","15.30","15.64","1.76","1.80","0"
"2024-05-01T13:30:00.000Z","15.97","16.14","15.97","16.03","2.49","2.54","0"
"2024-05-01T14:00:00.000Z","16.04","16.07","15.85","15.87","-0.9981","-0.9501","0"
"2024-05-01T14:30:00.000Z","15.86","15.86","15.70","15.83","-0.2520","-0.2040","0"
"2024-05-01T15:00:00.000Z","15.82","15.93","15.69","15.71","-0.7581","-0.7101","0"
"2024-05-01T15:30:00.000Z","15.70","15.92","15.70","15.74","0.1910","0.2390","0"
"2024-05-01T16:00:00.000Z","15.75","15.87","15.73","15.87","0.8259","0.8739","0"
"2024-05-01T16:30:00.000Z","15.85","15.94","15.85","15.94","0.4411","0.4891","0"
"2024-05-01T17:00:00.000Z","15.95","15.97","15.74","15.81","-0.8156","-0.7676","0"
"2024-05-01T17:30:00.000Z","15.82","15.83","15.31","15.60","-1.33","-1.28","0"
"2024-05-01T18:00:00.000Z","15.59","15.71","14.87","14.89","-4.55","-4.50","0"
"2024-05-01T18:30:00.000Z","14.79","14.97","14.35","14.54","-2.35","-2.30","0"
"2024-05-01T19:00:00.000Z","14.55","15.21","14.52","15.05","3.51","3.56","0"
"2024-05-01T19:30:00.000Z","15.02","15.46","14.92","15.38","2.19","2.24","0"
"2024-05-02T13:30:00.000Z","15.27","16.09","15.26","15.46","0.5202","0.5682","0"
"2024-05-02T14:00:00.000Z","15.48","15.53","15.13","15.37","-0.5821","-0.5341","0"
"2024-05-02T14:30:00.000Z","15.35","15.39","14.92","14.94","-2.80","-2.75","0"
"2024-05-02T15:00:00.000Z","14.93","15.19","14.92","15.11","1.14","1.19","0"
"2024-05-02T15:30:00.000Z","15.12","15.17","15.00","15.17","0.3971","0.4451","0"
"2024-05-02T16:00:00.000Z","15.18","15.26","15.11","15.12","-0.3296","-0.2816","0"
"2024-05-02T16:30:00.000Z","15.11","15.14","14.91","14.92","-1.32","-1.27","0"
"2024-05-02T17:00:00.000Z","14.93","14.93","14.80","14.83","-0.6032","-0.5552","0"
